cvrp_id,purch_lease,veh_model,tot_rebate,purch_price,air_dstrct,cnty,zipcode,census_trct,prev_tech_type,reason,residence_type,solar_panels,num_cars_HH,num_lic_drvr_HH,gender,HH_education,HH_income,tax_filing_status,HH_size,amer_indian_alskn_native,blck_afr_amer,east_asian,latino,middl_eastern,hawii_pac_islnd,south_asian,white,nan_ethnic,other_ethnic,cvrp_17,tech_type,age
A-201662,Purchase,Tesla Model S 60,4000,78700.0,South Coast,Riverside,92241,6065044522.0,2.0,1.0,1,2.0,1.0,1.0,2.0,6,1.0,4.0,1.0,,,,,,,,1.0,,,0,BEV,6.0
A-254921,Lease,Chevrolet Bolt EV,4500,39263.71,South Coast,Orange,92614,6059052520.0,6.0,-99.0,1,4.0,2.0,2.0,1.0,6,1.0,1.0,3.0,,,,,,,,1.0,,,1,BEV,5.0
A-211769,Lease,Chevrolet Spark EV,4000,25135.0,Bay Area,Sonoma,94952,6097151100.0,8.0,3.0,1,2.0,3.0,3.0,1.0,6,2.0,2.0,3.0,,,,,,,,1.0,,,0,BEV,6.0
A-237642,Lease,Chevrolet Bolt EV,4500,41494.91,South Coast,Los Angeles,91775,6037480002.0,8.0,3.0,2,4.0,2.0,2.0,1.0,6,4.0,2.0,4.0,,,1.0,,,,,,,,0,BEV,4.0
A-237724,Lease,Chevrolet Volt,3500,32200.0,South Coast,Los Angeles,91302,6037800204.0,5.0,2.0,3,5.0,1.0,1.0,1.0,5,1.0,1.0,1.0,,,,,,,,,1.0,,0,PHEV,2.0
A-225225,Purchase,Chevrolet Volt,3500,31096.0,Bay Area,Solano,94589,6095251902.0,,2.0,-77,4.0,4.0,3.0,1.0,-77,4.0,2.0,6.0,,,,,,,,,1.0,,0,PHEV,4.0
A-259026,Purchase,Toyota Prius Prime,3500,30654.0,San Joaquin Valley Unified,Fresno,93619,6019005518.0,2.0,5.0,1,5.0,1.0,2.0,1.0,5,2.0,-77.0,4.0,,,,,,,,,1.0,,1,PHEV,4.0
A-261835,Purchase,Chevrolet Volt,3500,31730.0,San Diego,San Diego,92120,6073009704.0,2.0,3.0,1,1.0,4.0,5.0,1.0,6,3.0,2.0,5.0,,,,,,,,1.0,,,1,PHEV,5.0
A-237659,Lease,FIAT 500e,4500,32550.0,San Joaquin Valley Unified,Fresno,93727,6019005805.0,,1.0,1,4.0,2.0,2.0,1.0,5,2.0,2.0,4.0,,,,,,,,1.0,,,0,BEV,3.0
A-237649,Lease,FIAT 500e,4500,32457.75,South Coast,Los Angeles,90405,6037702201.0,,2.0,3,5.0,2.0,1.0,1.0,3,2.0,2.0,2.0,,,,,,,,1.0,,,0,BEV,4.0
A-240029,Purchase,Chevrolet Bolt EV,4500,36140.0,Placer,Placer,95648,6061023600.0,2.0,2.0,1,-99.0,1.0,1.0,2.0,3,-77.0,1.0,1.0,,,,,,,,,,1.0,0,BEV,-77.0
A-240239,Purchase,Chevrolet Bolt EV,4500,36195.0,Bay Area,Alameda,94539,6001443102.0,5.0,3.0,1,1.0,2.0,2.0,1.0,5,3.0,2.0,5.0,,,,,,,,1.0,,,0,BEV,4.0
A-261834,Lease,Chevrolet Volt,3500,38200.0,San Diego,San Diego,92120,6073009706.0,5.0,3.0,3,4.0,1.0,1.0,2.0,3,1.0,-77.0,1.0,1.0,,,,,,,1.0,,,1,PHEV,5.0
A-202072,Lease,Chevrolet Volt,3000,33515.15,South Coast,Los Angeles,91401,6037123510.0,,1.0,-77,5.0,2.0,3.0,1.0,4,2.0,3.0,3.0,,,,,,,,,1.0,,0,PHEV,2.0
A-258743,Lease,FIAT 500e,4500,31885.0,South Coast,Los Angeles,91103,6037461600.0,2.0,3.0,1,3.0,2.0,2.0,1.0,5,1.0,1.0,2.0,,,,,,,,1.0,,,1,BEV,5.0
A-268246,Lease,Kia Optima Plug-in Hybrid,3500,33000.0,South Coast,Los Angeles,91042,6037101210.0,5.0,3.0,1,5.0,2.0,2.0,2.0,4,2.0,2.0,4.0,,,,,,,,1.0,,,1,PHEV,4.0
A-202086,Purchase,Chevrolet Volt,3000,30155.0,South Coast,Los Angeles,90601,6037408303.0,2.0,3.0,-77,4.0,2.0,,1.0,4,3.0,1.0,,,1.0,1.0,,,,,,,,0,PHEV,3.0
A-189284,Lease,Chevrolet Volt,3000,35300.0,Ventura,Ventura,91360,6111006301.0,5.0,3.0,1,1.0,2.0,5.0,1.0,6,4.0,2.0,5.0,,,,,,,,1.0,,,0,PHEV,5.0
A-237894,Lease,Kia Soul EV,4500,33050.0,South Coast,Los Angeles,91746,6037408301.0,2.0,4.0,1,5.0,4.0,3.0,1.0,6,1.0,2.0,3.0,,,1.0,,,,,,,,0,BEV,4.0
A-212279,Lease,Chevrolet Spark EV,4000,22805.31,Bay Area,Alameda,94587,6001440100.0,2.0,3.0,3,5.0,1.0,2.0,1.0,6,2.0,2.0,3.0,,,,,,,1.0,,,,0,BEV,3.0
A-225421,Lease,Toyota Prius Prime,3500,35558.0,South Coast,Los Angeles,91208,6037300800.0,2.0,8.0,1,5.0,2.0,2.0,1.0,6,-77.0,2.0,2.0,,,,,,,,1.0,,,0,PHEV,6.0
A-225431,Lease,Chevrolet Volt,3500,30747.36,South Coast,San Bernardino,91709,6071000108.0,2.0,3.0,1,4.0,3.0,3.0,1.0,6,2.0,1.0,3.0,,,,,,,,1.0,,,0,PHEV,5.0
A-254985,Lease,Chevrolet Bolt EV,4500,34315.7,South Coast,Orange,92660,6059063007.0,,3.0,3,5.0,1.0,3.0,2.0,6,3.0,1.0,4.0,,,,,,,1.0,,,,1,BEV,4.0
